funcname,n,seconds
bubble_sort,10,1.33333e-06
bubble_sort,100,3.9e-05
bubble_sort,1000,0.00267867
bubble_sort,10000,0.253113
bubble_sort,100000,24.9433
insertion_sort,10,1e-06
insertion_sort,100,8e-06
insertion_sort,1000,0.000119
insertion_sort,10000,0.00139033
insertion_sort,100000,0.0174413
spin_the_bottle_sort,10,2.8e-05
spin_the_bottle_sort,100,0.00404833
spin_the_bottle_sort,1000,4.02275
shell_sort,10,6.66667e-07
shell_sort,100,1.4e-05
shell_sort,1000,0.000143
shell_sort,10000,0.00157433
shell_sort,100000,0.0211683
